State,County_Name,County_Website_URL,Health_Department_Name,Health_Department_Contact_Email,Health_Department_Contact_Phone,Program_Name,Program_Category,Program_Description,Target_Population,Eligibility_Requirements,Application_Process,Required_Documentation,Financial_Assistance_Available,Program_Website_URL,Last_Updated,Data_Collector_Name,Notes
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,African American Infant & Maternal Mortality Prevention Initiative (AAIMM),Health Equity,Program aimed at reducing infant and maternal mortality rates among African American populations.,African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/CAH/PYD/Youth Advisory Council-About.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Black Infant Health (BIH),Health Equity,"California program addressing African American infant mortality through culturally-specific group education, peer support, and case management.",African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/CAH/PYD/Youth Advisory Council-About.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,"Enhanced prenatal and postpartum care for Medi-Cal eligible women, including health education, nutrition, and psychosocial assessments.",Pregnant women and new mothers,Medi-Cal eligibility,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/CAH/PYD/Youth Advisory Council-About.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Nurse-Family Partnership (NFP),Home Visiting,"Evidence-based nurse home visiting program for first-time, low-income mothers from pregnancy through child's second birthday.","First-time, low-income mothers","First-time mother, low-income",Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/CAH/PYD/Youth Advisory Council-About.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Los Angeles Mommy and Baby Project (LAMB),Maternal Child Health,Program focused on improving maternal and infant health outcomes through education and support.,Pregnant women and new mothers,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/CAH/PYD/Youth Advisory Council-About.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Black Infant Health,Health Equity,"California program addressing African American infant mortality through culturally-specific group education, peer support, and case management.","Pregnant women, new mothers, and infants",Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/docs/black_infant_health_program-LA_county_subcontractors.pdf,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,AAIMM Doula Program,Birth Support,The AAIMM Doula Program provides free doula support to Black/African American pregnant individuals in Los Angeles County to improve birth outcomes and reduce maternal and infant mortality.,Black/African American pregnant individuals,"18 or older (or foster youth), pregnant person, self-identifying as Black/African American and live in Los Angeles County.",Contact program staff at (213) 639-6448 or email to request an AAIMM doula.,Not specified,Yes,https://www.blackinfantsandfamilies.org/doulas,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Sudden Infant Death Syndrome (SIDS) Program,Maternal Child Health,"Provides mandated follow-up and support services through public health nurses and social workers, including education about SIDS and referrals to community resources for families coping with infant loss.",Families coping with infant loss,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/sids/sids.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,African American Infant & Maternal Mortality Prevention Initiative (AAIMM),Health Equity,Program aimed at reducing infant and maternal mortality rates among African American populations through targeted interventions.,African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/choi/choi.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Black Infant Health (BIH),Health Equity,"California program addressing African American infant mortality through culturally-specific group education, peer support, and case management.",African American mothers and infants,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/choi/choi.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Comprehensive Perinatal Services Program (CPSP),Perinatal Care,"Enhanced prenatal and postpartum care for Medi-Cal eligible women, including health education, nutrition, and psychosocial assessments.",Pregnant women and new mothers,Medi-Cal eligibility,Not specified,Not specified,Yes,http://publichealth.lacounty.gov/mch/choi/choi.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Nurse-Family Partnership (NFP),Home Visiting,"Evidence-based nurse home visiting program for first-time, low-income mothers from pregnancy through child's second birthday.","First-time, low-income mothers","First-time mothers, low-income",Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/choi/choi.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
California,Los Angeles,https://www.lacounty.gov/,Not found,cpsp@ph.lacounty.gov,Not found,Los Angeles Mommy and Baby Project (LAMB),Maternal Child Health,Program focused on improving maternal and infant health outcomes through education and support.,Pregnant women and new mothers,Not specified,Not specified,Not specified,Unknown,http://publichealth.lacounty.gov/mch/choi/choi.htm,2026-03-16,Swindar,"The program focuses on training for CPSP providers, which supports maternal health initiatives. Extracted programs focus on maternal health services. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from a PDF document; some information may be incomplete. Data extracted from the provided content. Program focuses on support for families affected by infant loss, which is relevant to maternal health. Not a maternal health program Not a maternal health program Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the content. Extracted multiple maternal health programs from the provided content. Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the page. Not a maternal health program Data extracted from the provided content. Not a maternal health program Extracted multiple maternal health programs from the content. Extracted program focuses on maternal health and addresses infant and maternal mortality. Not a maternal health program"
